origin,age,colour,sex,import_type,season_stakes,total_stakes,no_of_123_starts,no_of_starts_in_past_races,trainer,owner,current_rating,start_of_season_rating,sire,dam,dam_sire
NZ ,4,Bay , Gelding,PP,"$1,657,500 ","$1,657,500 ",1-2-0-6,2,F C Lor,Chiu Chow Hon Kong Syndicate,76,68,Holy Roman Emperor,Montwest,Montjeu
NZ ,4,Bay , Gelding,PPG,"$2,427,500 ","$2,427,500 ",3-2-0-7,1,C S Shum,Ngan Pui Ying & Ngan Ng Yu Ying,76,52,Proisir,Emerged,Bachelor Duke
AUS ,4,Brown , Gelding,PP,"$764,000 ","$3,475,500 ",2-2-4-21,2,F C Lor,Vincent Li Hoi Yuen,75,86,Better Than Ready,La Tikka Rosa,Freeze
IRE ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,R Gibson,Li Wai Yin & Gina Li Wai Shuen,74,74,Lope de Vega,Night Fairy,Danehill
AUS ,4,Bay , Gelding,PP,"$382,500 ","$382,500 ",0-1-0-6,1,Y S Tsui,Irene Chen & Johnson Chen,73,76,Fastnet Rock,Sunday Joy,Sunday Silence
NZ ,6,Bay , Gelding,PPG,"$1,027,500 ","$4,203,605 ",5-0-5-24,0,D J Hall,Mr & Mrs Chew Fook Aun,73,71,He's Remarkable,La Memoire,Tale Of The Cat
AUS ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,D A Hayes,Dr & Mrs Eddy Fong,71,71,Pierro,Princess Quality,Elusive Quality
AUS ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-3,1,D J Hall,"Thomas Poon Ho Wing, Poon Chi Keung & Li Kui Ching",67,70,Dane Shadow,Dorothy Dinosaur,Canny Lad
AUS ,3,Chestnut , Gelding,PPG,"$937,500 ","$1,936,250 ",3-0-1-10,1,F C Lor,"Edward Wong Chung Bun, Andy Wong Ka Wai, Dickson Wong Bao Xi & Ceicy Wong Wing Sze",65,64,Akeed Mofeed,Calemore,More Than Ready
IRE ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-5,3,F C Lor,Choi Yu So Fong,64,68,War Command,Queens Flight,King's Best
AUS ,4,Bay , Gelding,PPG,"$795,000 ","$1,887,710 ",2-2-1-12,0,J Size,Good Faith Syndicate,63,60,Sebring,Steps In Time,Danehill Dancer
AUS ,4,Bay , Gelding,PPG,"$1,617,500 ","$2,086,495 ",1-3-6-18,2,C Fownes,Leung Kai Fai,60,53,Medaglia d'Oro,Watchful Eyes,Street Sense
AUS ,5,Bay , Gelding,PPG,$0 ,"$2,537,240 ",3-1-3-27,0,P F Yiu,Chan Chi Ho,58,64,Smart Missile,Negotiate,Red Ransom
NZ ,7,Bay , Gelding,PP,"$1,485,000 ","$3,643,610 ",1-5-10-42,2,A S Cruz,HK Association of Lady Horse Lovers Syndicate,56,47,Zacinto,Avoid,Cullen
FR ,5,Bay , Gelding,PPG,"$1,317,500 ","$2,879,205 ",3-4-1-26,3,J Size,Allen Yam Kam Kwong & Ma Pak Hung,56,59,Siyouni,Nayara,Nayef
NZ ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,K H Ting,South Winds Syndicate,52,52,Swiss Ace,Lotta Luv,Dubawi
NZ ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,K W Lui,Mr & Mrs Fred Ma Chi Un,52,52,Iffraaj,Ready At Eight,More Than Ready
NZ ,3,Grey , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,C H Yip,Cheng Wan Wai,52,52,Jimmy Choux,Seven Schillings,O'Reilly
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-1,0,P O'Sullivan,Boniface Ho Ka Kui,52,52,Not A Single Doubt,Lahana,Hussonet
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-1,0,C H Yip,Victor Hui Chun Fui,52,52,Press Statement,Karata,Elvstroem
AUS ,7,Chestnut , Gelding,PPG,"$60,000 ","$4,249,300 ",3-5-3-37,2,K L Man,Ko Kam Piu,52,75,Starcraft,Libor Lady,Exchange Rate
NZ ,4,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,J Size,Connie Wong Wai Ching & Vivian Wong Man Lei,52,52,Pins,Stole,Desert Fox
NZ ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-2,0,D J Hall,"Ng Wai Hung, Frankie Ng Wai Hang & Ben Ng Chi Bun",52,52,Darci Brahma,Smoulder,Traditionally
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,D A Hayes,Vincent Leung Man Him,52,52,Artie Schiller,Heredera,Northern Meteor
IRE ,4,Bay , Gelding,PP,"$60,000 ","$60,000 ",0-0-0-8,0,D J Whyte,Antonio Chan Hang Tat,52,66,Zoffany,Be My Queen,Sadler's Wells
GB ,5,Bay , Gelding,ISG,"$745,000 ","$778,845 ",1-0-1-8,2,C Fownes,Patrick Ting Siu Yin,51,55,Siyouni,Vintage Red,Turtle Bowl
NZ ,4,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-2,2,P F Yiu,Sure Duck Syndicate,50,52,Sacred Falls,Love Me Not,Zabeel
NZ ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-2,1,K H Ting,"Daniel Chong Kwok Ming, Benny Lee Chi Kong & Andy Wong Wan Cheung",50,52,Proisir,Calm Grove,Grosvenor
NZ ,4,Grey , Gelding,PP,$0 ,$0 ,0-0-0-9,0,D J Hall,Kent Leung Kin Keung,49,73,Alamosa,Fantastic Honour,Any Suggestion
NZ ,4,Bay , Gelding,PPG,"$120,000 ","$120,000 ",0-0-0-5,1,D A Hayes,Mr & Mrs Michael Ling Siu Ming,49,52,Proisir,Scrutiny,Exceed And Excel
IRE ,5,Bay , Gelding,PP,"$35,000 ","$441,000 ",0-1-0-16,1,L Ho,Yau Tim,49,61,Holy Roman Emperor,Midnight Partner,Marju
AUS ,4,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-3,1,D J Hall,Kimmy Ngan King Lin,48,52,Dawn Approach,Beryl Margaret,Perugino
NZ ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-4,0,K H Ting,Stephen Chan Pui Yan,48,52,Power,Diamond Babe,Stravinsky
AUS ,5,Chestnut , Gelding,PPG,"$878,750 ","$1,908,605 ",2-2-5-22,3,A T Millard,Treinta Pares Syndicate,47,48,Hussonet,Smytzer's Thunder,Thunder Gulch
NZ ,4,Bay , Gelding,PPG,"$35,000 ","$35,000 ",0-0-0-5,2,W Y So,Gui Shengyue,46,52,Ocean Park,Lucida,O'Reilly
AUS ,4,Brown , Gelding,PPG,"$997,500 ","$997,500 ",2-0-0-8,1,K L Man,Michael Chan Se Ping & Law Lai Wan,44,51,Zoustar,Elysian Hera,Stravinsky
AUS ,5,Bay , Gelding,PP,"$640,000 ","$640,000 ",1-0-0-18,1,C H Yip,Leung Tin Fu,43,49,Dawn Approach,Clothilde,Danehill
NZ ,4,Bay , Gelding,PPG,$0 ,"$855,795 ",1-1-0-15,2,D J Hall,Barbarian Syndicate,43,48,Rock 'N' Pop,Nicole Amy,Le Bec Fin
NZ ,5,Bay , Gelding,PP,$0 ,$0 ,0-0-0-14,0,Y S Tsui,Wong Wai Pang,41,50,Shamexpress,Stella Livia,Titus Livius
AUS ,4,Bay , Filly,PP,$0 ,$0 ,0-0-0-11,2,D A Hayes,Friends of MFS Syndicate,38,70,Nicconi,Brookton Flare,Strada
IRE ,5,Bay , Gelding,PP,"$86,250 ","$86,250 ",0-0-1-18,1,L Ho,Calvin Cheng Ka Sing,32,40,Camacho,Meanwhile,Haafhd
AUS ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-11,0,A S Cruz,"Ma Ching Fat, Matthew Ma Hing Chuen & Maurice Ma Hing Kam",27,51,Star Witness,Princess Paris,Krupt
AUS ,4,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-11,3,K H Ting,Lucky Champions Syndicate,14,32,Champions Gallery,Images,Fusaichi Pegasus
JPN ,5,Bay , Mare,VIS,$0 ,$0 ,0-0-0-0,0,Y Yahagi,DMM Dream Club Co Ltd,,,Deep Impact,Loves Only Me,Storm Cat
