origin,age,colour,sex,import_type,season_stakes,total_stakes,no_of_123_starts,no_of_starts_in_past_races,trainer,owner,current_rating,start_of_season_rating,sire,dam,dam_sire
IRE ,4,Bay , Colt,PP,"$7,920,000 ","$7,920,000 ",0-2-0-4,1,D J Whyte,Mike Cheung Shun Ching,103,89,Galileo,Atlantic Jewel,Fastnet Rock
NZ ,5,Grey , Gelding,PPG,"$1,760,000 ","$8,460,300 ",6-2-3-22,2,F C Lor,Nova Stella Syndicate,96,96,Reliable Man,Stella Doro,Faltaat
GER ,5,Bay , Gelding,PP,"$2,237,000 ","$7,002,050 ",4-2-4-22,2,J Size,The Hon Ronald Arculli GBM GBS JP & Johanna K J Arculli BBS,93,93,Oasis Dream,Capichera,Shirocco
NZ ,6,Grey , Gelding,PP,"$1,919,000 ","$7,398,000 ",6-3-1-40,3,C H Yip,CAAF Syndicate,88,82,Mastercraftsman,Comme Tu Veux,Howbaddouwantit
IRE ,4,Bay , Gelding,PP,"$3,746,500 ","$3,746,500 ",1-2-3-7,1,C S Shum,Sammy Ma Hon Kit,87,80,Holy Roman Emperor,Swish,Monsun
IRE ,5,Bay , Gelding,PP,"$1,860,000 ","$3,773,400 ",3-2-3-23,1,C S Shum,David Ng Win Loong,84,75,Kodiac,Damask,Red Clubs
FR ,6,Bay , Gelding,PP,"$660,000 ","$4,625,925 ",3-1-5-28,2,C W Chang,Edward Ho Ka Yuen,82,87,Siyouni,Healing Dream,Montjeu
AUS ,3,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,C Fownes,Purviz R Shroff,80,80,Medaglia d'Oro,Hazard,Flying Spur
AUS ,4,Bay , Gelding,PP,"$1,657,500 ","$1,657,500 ",1-2-0-6,0,C Fownes,Michael Wong Ka Chun,79,71,Zebedee,Private Nancy,Soldier's Tale
NZ ,7,Bay , Gelding,PPG,"$1,447,500 ","$9,302,275 ",6-10-6-52,2,C S Shum,Wong Shing Ngai,75,78,Denman,Tsukioka,Flying Spur
SAF ,5,Bay , Gelding,PP,$0 ,$0 ,0-0-0-3,1,Y S Tsui,Rotary Club of Sha Tin Syndicate,74,80,Mambo In Seattle,Captain's Lullaby,Captain Al
GB ,3,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,J Size,The Hon Ronald Arculli GBM GBS JP & Johanna K J Arculli BBS,72,72,Territories,Quiet Queen,Sulamani
AUS ,3,Brown , Colt,PP,$0 ,$0 ,0-0-0-0,0,F C Lor,"Tang Ming, James Tang Sau Yip, Tang Chak Man & Tang Fong Ki",72,72,Written Tycoon,Golden Penny,Blevic
AUS ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-2,0,P F Yiu,Tsoi Wai & Tang Pui Yee,70,72,Kuroshio,Poetic Faith,Keep The Faith
NZ ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,K L Man,Friends of Craftsmen Syndicate,69,69,Ferlax,My Indigo,Exceed And Excel
NZ ,6,Dark Bay , Gelding,PPG,"$431,250 ","$6,614,600 ",5-4-1-28,1,F C Lor,Right Track Syndicate,68,84,Mastercraftsman,Grand Belt,O'Reilly
IRE ,7,Bay , Gelding,PP,"$1,872,500 ","$4,503,785 ",5-2-3-43,2,R Gibson,Yan Ming,66,59,Famous Name,Agnetha,Big Shuffle
NZ ,4,Brown , Gelding,PPG,"$1,615,000 ","$1,895,430 ",2-2-2-13,0,A T Millard,Winful Racing Syndicate,63,45,Per Incanto,Trigon Lass,Centaine
NZ ,4,Brown , Gelding,PPG,"$1,532,000 ","$2,228,240 ",2-3-3-16,2,C S Shum,Wong Shun Yuen,60,52,Savabeel,Lady Chaparral,High Chaparral
IRE ,4,Brown , Gelding,PP,"$712,500 ","$712,500 ",0-0-3-11,1,C S Shum,Peter Lau Pak Fai & Suki Tang Xianfang,60,65,Cappella Sansevero,Varnay,Machiavellian
AUS ,4,Bay , Gelding,PPG,"$905,000 ","$1,202,353 ",1-2-2-6,0,F C Lor,Lee Fung Tai & Virginia Lee Yuen Man,59,52,Pierro,Bella Rossie,Testa Rossa
AUS ,5,Bay , Gelding,PPG,"$1,522,000 ","$2,951,723 ",3-3-3-28,0,C Fownes,Thomas Yeung Chuen Chow,56,39,Dreamscape,Ice Cold Crownie,Beautiful Crown
AUS ,4,Bay , Gelding,PPG,"$685,000 ","$685,000 ",1-0-1-7,1,J Size,The Hon & Mrs Andrew Li Kwok Nang,53,49,Hinchinbrook,Teasing,More Than Ready
IRE ,4,Grey , Gelding,PPG,"$500,000 ","$500,000 ",0-2-0-6,1,D J Whyte,Legal Form Syndicate,52,52,Outstrip,Mrs Micawber,Nayef
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,D A Hayes,Chan Chau Fai,52,52,All American,Amphlett,Rock Of Gibraltar
NZ ,4,Bay , Gelding,PPG,"$510,000 ","$510,000 ",0-1-2-6,0,W Y So,Ten Pros Syndicate,52,52,Ghibellines,Huhu Lass,King's Chapel
AUS ,5,Chestnut , Gelding,ISG,"$150,000 ","$150,000 ",0-0-1-4,0,P F Yiu,Thomas Luk Hin Fai,51,52,Sepoy,Ancient Song,Canny Lad
GB ,8,Chestnut , Gelding,PPG,"$825,000 ","$5,325,075 ",3-9-6-56,2,K L Man,Mr & Mrs Dannis Lee Cheuk Yin,49,60,Champs Elysees,Red Boots,Verglas
IRE ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-3,2,J Size,Hayden Pong Hei Ting,48,52,Iffraaj,Bayargal,Bernstein
AUS ,3,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-3,2,D A Hayes,Joyful Syndicate,48,52,Real Impact,Confer,Danehill
AUS ,5,Bay , Gelding,PPG,"$1,015,000 ","$1,667,500 ",2-2-2-21,2,D J Hall,New Generation Syndicate,47,37,Artie Schiller,Tarlaquena,Don Eduardo
ARG ,4,Bay , Gelding,ISG,"$210,000 ","$210,000 ",0-0-1-8,2,K L Man,"Tang Ming, Tang Chak Leung, Tang Chak Man & Elaine Tang Wai Ling",44,52,Grand Reward,La Campoy,Luhuk
IRE ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-8,2,K L Man,"Alfred Chan Yam Lung, Brian Wong Chi Fai & Adam Chan Yam Man",43,68,Dandy Man,Lily White Socks,Arakan
AUS ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-6,3,K W Lui,Kathy Ma So Lan,42,52,Deep Field,Rose Ransom,Red Ransom
AUS ,4,Bay , Gelding,PPG,"$497,500 ","$497,500 ",1-0-0-12,0,K W Lui,The Whisperer Syndicate,42,43,The Brothers War,Miss Cacciatore,Snitzel
AUS ,4,Brown , Gelding,PPG,"$637,500 ","$637,500 ",1-1-0-14,1,Y S Tsui,Joseph Choi Yip Leung,37,39,Better Than Ready,Dublette,Dubleo
NZ ,5,Bay , Gelding,PPG,"$210,000 ","$659,655 ",0-2-1-17,1,K L Man,Family Syndicate,37,45,Poet's Voice,Amour Cache,Exceed And Excel
NZ ,6,Bay , Gelding,PPG,"$138,750 ","$1,154,990 ",1-2-3-23,1,W Y So,Wendy Wong Yin Ting & Owen Cheng Ho Wang,35,40,Showcasing,The Myth,Cape Cross
AUS ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-6,0,K L Man,Lam Yuk Leung,32,44,Smart Missile,Ancient Titles,Xaar
AUS ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-9,0,P F Yiu,Andrew Kelvin Yu Wai Kit & Yu Kwok Chun,31,45,Dissident,Horkins Nancy,Made Of Gold
NZ ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-9,1,D A Hayes,"Pong Kin Yee, Samson Yip Yan Tion, Gary Chan Ming Lee & David Liao Yi Chien",29,52,Ferlax,Little Tee,Volksraad
AUS ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-8,0,K L Man,Mr & Mrs Dannis Lee Cheuk Yin,27,35,Zoffany,Decantered,Flying Spur
FR ,5,Chestnut , Gelding,ISG,$0 ,$0 ,0-0-0-7,2,C W Chang,Alan Kiang Ping Fai & Joyce Lee,26,52,Rio de La Plata,Tevara,Compton Place
AUS ,5,Bay , Gelding,PPG,$0 ,"$507,500 ",1-0-0-18,1,C H Yip,Mr & Mrs Tsoi Kwok Wai,20,25,Redoute's Choice,Ailalea,Pulpit
AUS ,2,Chestnut , Colt,PPG,$0 ,$0 ,0-0-0-0,0,P F Yiu,New Generation Syndicate,,,Winning Rupert,Kesari,Volksraad
AUS ,3,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,C S Shum,Wong Shing Ngai,,,Nicconi,Atlantis,Domesday
AUS ,8,Bay , Gelding,PP,"$13,225,000 ","$55,018,633 ",8-8-7-41,1,C Fownes,Boniface Ho Ka Kui,125,125,Not A Single Doubt,Donna's Appeal,Carnegie
AUS ,4,Chestnut , Colt,PP,"$4,674,000 ","$6,407,500 ",2-5-0-16,1,D J Whyte,"Cheung Hon Kit, Joanna Cheung Wai Sze & Jonathan Cheung Yu Shing",112,94,Not A Single Doubt,Star Pupil,Starcraft
NZ ,4,Bay , Gelding,PPG,"$19,370,000 ","$21,037,965 ",6-3-0-12,1,C Fownes,Jessica Kwan Mun Hang,106,71,Darci Brahma,Strictly Maternal,O'Reilly
FR ,5,Brown , Gelding,PP,"$2,864,000 ","$6,154,000 ",1-3-2-20,1,D J Whyte,Julian Hui Chun Hang & Michele Monique Reis,104,97,Anodin,Insan Mala,Bahhare
AUS ,4,Chestnut , Gelding,PPG,"$5,518,000 ","$6,339,950 ",4-1-2-11,1,C Fownes,"Kwan Shiu Man, Jessica Kwan Mun Hang & Jeffrey Kwan Chun Ming",102,71,Deep Field,Laravissante,O'Reilly
SAF ,7,Bay , Gelding,PP,"$717,500 ","$21,636,511 ",2-4-2-22,0,A T Millard,Nikki Ng Mien Hua,100,110,Philanthropist,Sing Dixie Sing,Western Winter
AUS ,5,Brown , Gelding,PPG,"$2,194,000 ","$8,470,650 ",6-3-1-24,1,F C Lor,Ho Hui Wing Ka & Ho Siu Kong,94,87,Snitzel,Cape Princess,Cape Cross
AUS ,5,Bay , Gelding,PP,"$1,038,000 ","$5,207,000 ",3-2-1-11,1,D J Whyte,Sidney Leung Kwun Wa,93,91,Epaulette,Well Hidden,More Than Ready
AUS ,5,Bay , Gelding,PP,"$561,000 ","$6,022,750 ",4-2-1-24,2,P F Yiu,Liza Chen Shau Enig,92,93,Makfi,Raneen,Perfectly Ready
SAF ,5,Bay , Gelding,PP,$0 ,"$3,393,250 ",2-1-0-6,1,A T Millard,William Elkin Mocatta,90,90,Sail From Seattle,Bold Choice,Lecture
AUS ,5,Bay , Gelding,PPG,"$330,000 ","$9,330,950 ",6-4-7-33,1,J Size,Gerald Siu Chi Shing,90,100,Testa Rossa,Dance Idol,Danehill Dancer
AUS ,4,Bay , Gelding,PP,"$1,438,000 ","$1,438,000 ",1-1-1-5,2,J Size,Larry Yung Chi Kin,90,76,Canford Cliffs,Rechichi,Elvstroem
AUS ,6,Grey , Gelding,PPG,"$2,281,500 ","$5,695,650 ",6-1-4-19,0,A T Millard,Financial Investors Group Syndicate,90,78,Hard Spun,Bonifacio,Even The Score
NZ ,5,Bay , Gelding,PP,"$312,000 ","$3,422,500 ",1-1-0-18,1,K W Lui,King Kong V Racing Syndicate,90,98,Rock 'N' Pop,Not Sure,Masterclass
AUS ,6,Bay , Gelding,PPG,"$1,463,000 ","$5,285,250 ",5-2-2-24,0,A S Cruz,Jenny Tam Yuk Ching,87,81,Pierro,Keep The Peace,Keeper
AUS ,4,Chestnut , Gelding,PPG,"$4,273,750 ","$4,824,940 ",4-5-1-14,1,J Size,Fun Loving Syndicate,85,58,Reward For Effort,Montana Hilton,Brahms
NZ ,4,Bay , Gelding,PP,"$3,027,500 ","$3,027,500 ",2-2-1-10,2,J Size,Winnie Law Wing Yin,84,70,Savabeel,Sequin,Pins
SAF ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-2,0,K H Ting,Fung Kok Po & Jason Fung,83,85,Oratorio,Little Jet,Jet Master
NZ ,4,Brown , Gelding,PP,"$2,169,500 ","$2,169,500 ",2-1-0-6,1,K H Ting,"Lau Yiu Chu, Cynthia Lau, Sandra Lau & Robert Lau",83,69,More Than Ready,Raziyya Of Sydney,Redoute's Choice
AUS ,4,Bay , Gelding,PP,"$1,787,000 ","$1,787,000 ",2-0-0-7,0,K W Lui,Brian Leung Hung Tak & Sophie Leung Lau Yau Fun,82,73,Sebring,Life On The Edge,Redoute's Choice
AUS ,6,Chestnut , Gelding,PP,"$1,416,000 ","$3,760,250 ",3-2-1-22,2,W Y So,Matthew Wong Leung Pak,82,84,Star Witness,Hilton Head,Fastnet Rock
AUS ,4,Bay , Gelding,PPG,"$2,280,000 ","$2,280,000 ",3-0-0-4,0,J Size,Tam Wing Kun,81,52,Magnus,Tarp,Bletchley Park
AUS ,4,Bay , Gelding,PP,"$172,500 ","$172,500 ",0-0-1-2,1,A T Millard,David Tung Kar Ming,79,80,Snitzel,Walk With Attitude,Hussonet
AUS ,5,Bay , Gelding,PP,"$1,395,000 ","$1,687,750 ",1-2-1-18,1,K W Lui,James Lau Po Man & Alice Woo Wai See,79,75,Akeed Mofeed,Saramenha,Snitzel
AUS ,3,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,Y S Tsui,David Lui,78,78,Fastnet Rock,Diademe,Savabeel
IRE ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,D J Hall,Albert Hung Chao Hong & Stephanie Hung Yujie,78,78,Kodiac,Shamankiyna,Azamour
NZ ,6,Bay , Gelding,PPG,"$632,000 ","$5,265,700 ",5-1-6-24,0,A T Millard,Kowloon Tong Club Syndicate,78,81,O'Reilly,Shining Light,Star Way
AUS ,6,Chestnut , Gelding,PPG,"$52,500 ","$2,870,950 ",4-0-1-14,0,C H Yip,Victor Hui Chun Fui,78,79,Excelebration,Further,More Than Ready
AUS ,3,Bay , Gelding,PP,$0 ,$0 ,0-0-0-2,1,D A Hayes,Thomas Lau Sum Fai,78,80,Pierro,She's A Wildcat,Fastnet Rock
IRE ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-2,0,P F Yiu,Chow Yuet Kam,78,80,Kodiac,Epping,Charnwood Forest
NZ ,6,Bay , Gelding,PPG,$0 ,"$2,614,800 ",3-1-2-8,0,C Fownes,Raymond Chu Wai Hang,77,78,Nadeem,Gold Circle,Kilimanjaro
AUS ,6,Chestnut , Gelding,PP,"$1,710,000 ","$2,029,000 ",1-1-3-18,2,D E Ferraris,"Clement Ma Kang Ching, Josiah Ma Pok Man & David Ma Yeuk Lai",77,71,Duke Of Marmalade,Walk In The Park,Thorn Park
AUS ,4,Bay , Gelding,PP,"$802,500 ","$853,250 ",0-2-0-8,1,D J Whyte,Francis Yeung,77,78,Zoustar,And Rock,Fastnet Rock
USA ,4,Brown , Colt,PPG,"$2,223,750 ","$2,806,000 ",3-1-3-11,1,K W Lui,"Mr & Mrs Stephen Ho Wai Man, Fred Ho Ka Chun and Derek Ho Ka Chung",75,60,Flatter,Suzee Sunrise,Chester House
AUS ,7,Bay , Gelding,PP,"$937,500 ","$6,090,450 ",4-3-4-47,1,C W Chang,Chen Zhuo Lin,74,80,Charge Forward,Cortina Gal,Flying Spur
AUS ,6,Bay , Gelding,PP,"$407,000 ","$4,124,500 ",2-4-5-36,3,W Y So,Ming Shui Sum & Ming Yiu Tim,74,80,Delago Deluxe,Aemilee,Grand Lodge
AUS ,4,Bay , Gelding,PPG,"$2,680,000 ","$2,822,633 ",4-0-2-16,2,K W Lui,Ringo Chan Kwok Yuen & Kenneth Chan Ho Wai,74,42,Sidestep,Adjourn,Waajib
SAF ,4,Brown , Gelding,PP,"$600,000 ","$687,000 ",0-1-0-9,1,A T Millard,Lau Yi Fai,74,80,Wylie Hall,Vanilla Twilight,Qui Danzig
AUS ,3,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,F C Lor,Jackson So Hoi Wing,73,73,Hinchinbrook,Dezign,Zabeel
IRE ,4,Brown , Gelding,PP,$0 ,$0 ,0-0-0-2,1,P F Yiu,Eddie Chung Kwok Leung,73,73,Gutaifan,Oh Sedulous,Lawman
NZ ,5,Brown , Gelding,PP,"$909,500 ","$2,241,050 ",1-3-1-19,1,K L Man,Friend of Yuen Long Merchants Assn Syndicate,73,78,Makfi,C'Mon Cuba,Thorn Park
IRE ,3,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,J Size,Richard Li Tzar Kai,71,71,Lawman,Young Special,Fastnet Rock
IRE ,4,Chestnut , Gelding,PP,$0 ,$0 ,0-0-0-0,0,P F Yiu,Mr & Mrs Andrew Wong Kwok Kin,71,71,Starspangledbanner,Laurelita,High Chaparral
AUS ,4,Chestnut , Gelding,PP,"$855,000 ","$855,000 ",1-0-0-8,1,C Fownes,Kenneth Wu Pak Kei,70,75,Zoffany,Little Miss Smiley,Husson
AUS ,5,Chestnut , Gelding,PP,"$1,792,500 ","$4,445,320 ",4-3-3-36,2,A T Millard,"Vincent Li Hoi Yuen, Justin Li Cheng Yan & Vivian Li Yi Mei",70,70,Star Witness,Fille The Joy,Royal Academy
ITY ,4,Chestnut , Gelding,PP,$0 ,$0 ,0-0-0-3,2,D A Hayes,Yi Chevalier Syndicate,70,74,Sakhee's Secret,Saluggia,Galileo
AUS ,6,Bay , Gelding,PP,$0 ,"$2,366,090 ",2-3-2-22,0,P O'Sullivan,Lam Wai Ying,70,70,Hinchinbrook,Al's Magic Miss,Magic Albert
NZ ,5,Brown , Gelding,PP,"$866,500 ","$2,559,600 ",1-2-2-22,2,A S Cruz,Mr & Mrs Mike Cheung Shun Ching,70,80,Per Incanto,Star Guest,Pentire
AUS ,5,Bay , Gelding,PP,"$1,603,500 ","$2,323,915 ",2-1-2-21,1,D J Whyte,Gary Ling Kay Wai,68,63,So You Think,Laylia,Redoute's Choice
NZ ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-1,0,P F Yiu,"Tony Lam Wai Fung, Charles Lee Sheung Yee & Hanson Lam Wai Tao",68,68,Nicconi,Champagne Crystal,Encosta de Lago
AUS ,5,Brown , Gelding,PPG,"$1,930,000 ","$1,988,020 ",3-1-0-8,2,P O'Sullivan,Benedict Sin,68,45,Unencumbered,Dowager Princess,Savabeel
AUS ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,C W Chang,Twinkle Stars Syndicate,68,68,Holy Roman Emperor,Sunday Lady,Zabeel
AUS ,4,Grey , Gelding,PP,"$90,000 ","$90,000 ",0-0-0-4,1,R Gibson,Wong Yeuk Hung,68,70,The Factor,Kim Heaven,Shamardal
AUS ,3,Brown , Gelding,PP,"$52,500 ","$52,500 ",0-0-0-1,1,W Y So,Yip Shu Bun & Antonia Liu Wing Yan,68,68,Better Than Ready,Vital Page,Iglesia
AUS ,5,Brown , Gelding,PP,"$892,500 ","$2,125,000 ",1-3-0-17,2,C S Shum,"Andy Wong Tsz Wai, Michael Chan Ting Bond, Albert Lee Wai Kong & Sharon Young Yik Sze",67,74,Rothesay,Cot Case,Belong To Me
IRE ,4,Bay , Gelding,PP,"$90,000 ","$90,000 ",0-0-0-3,1,F C Lor,Mr & Mrs Jeffrey Liu Wai Lun,67,68,Slade Power,Lady Naomi,Distant View
JPN ,7,Bay , Gelding,PP,"$1,165,000 ","$3,063,450 ",2-3-0-30,0,A S Cruz,The Executors of the Estate of the late Hui Sai Fun,67,65,Deep Impact,Baahama,Anabaa
NZ ,7,Bay , Gelding,PPG,"$562,500 ","$4,294,875 ",4-3-3-31,2,A T Millard,Ibis Syndicate,66,73,O'Reilly,Flutter,Savabeel
IRE ,4,Bay , Gelding,PP,"$90,000 ","$90,000 ",0-0-0-5,2,D E Ferraris,Wong Chung Hin & Arnold Wong Chi Chiu,66,72,Dandy Man,Hidden Belief,Holy Roman Emperor
NZ ,5,Grey , Gelding,PPG,"$1,787,500 ","$2,706,150 ",3-2-5-21,1,C H Yip,Six Lucky Boys Syndicate,65,42,Guillotine,Cinnadream,King Of Kings
GB ,6,Bay , Gelding,PP,"$535,500 ","$2,790,250 ",1-4-2-25,2,D E Ferraris,Wong Chung Hin & Arnold Wong Chi Chiu,65,74,Exceed And Excel,Gradara,Montjeu
IRE ,6,Bay , Gelding,PP,"$1,315,000 ","$1,774,325 ",2-2-1-24,2,K W Lui,Forever Favourite Syndicate,64,50,Henrythenavigator,Kykuit,Green Desert
AUS ,5,Bay , Gelding,PPG,"$1,425,000 ","$2,614,410 ",3-1-3-17,2,D A Hayes,Good Hope Syndicate,64,62,So You Think,Soho Secret,Lucky Owners
USA ,4,Brown , Gelding,PP,"$105,000 ","$105,000 ",0-0-0-8,1,F C Lor,Connie Siu Kim Ying,64,73,Dialed In,Chu And You,You And I
AUS ,3,Bay , Gelding,PPG,"$570,000 ","$570,000 ",1-0-0-3,0,D A Hayes,"Tony Lau Yiu Tong, Thomas Lau Sum Fai & Lau Yi Fai",64,52,Exceed And Excel,Stella Senza Cielo,Elusive City
NZ ,3,Chestnut , Gelding,PPG,"$1,235,000 ","$1,388,000 ",2-0-0-8,1,D J Whyte,Forever Luck Syndicate,64,49,Ocean Park,Pastrana,Fastnet Rock
NZ ,4,Brown , Gelding,PPG,"$1,095,000 ","$2,025,680 ",1-3-3-10,3,C Fownes,Kwan Yui Man,63,64,Showcasing,Mary Agnes,Zabeel
GB ,5,Bay , Gelding,PPG,"$330,000 ","$1,008,690 ",1-1-1-8,0,C H Yip,Lok Ho Ting,63,62,Holy Roman Emperor,Connote,Oasis Dream
GB ,5,Chestnut , Gelding,PP,$0 ,"$319,000 ",0-1-0-8,3,P O'Sullivan,Nice Guys Syndicate,62,68,Exceed And Excel,Wahylah,Shamardal
NZ ,4,Bay , Gelding,ISG,"$790,000 ","$790,000 ",1-1-0-4,1,W Y So,Gui Shengyue,62,52,Charm Spirit,Key To Success,Thorn Park
GB ,5,Bay , Gelding,PP,"$690,000 ","$690,000 ",1-0-0-12,2,F C Lor,Elizabeth Lee Ho Ling,62,67,Passing Glance,Lizzie Tudor,Tamayuz
NZ ,6,Chestnut , Gelding,PP,"$90,000 ","$2,316,625 ",0-6-0-21,0,K H Ting,Li Chi Pong,62,69,Teofilo,Stole,Desert Fox
NZ ,6,Bay , Gelding,PPG,"$1,170,000 ","$2,925,105 ",3-3-4-22,2,D J Whyte,Horace Cheng Lung Don,61,58,Keeper,Heartache,Casual Lies
USA ,4,Brown , Gelding,PP,"$52,500 ","$52,500 ",0-0-0-10,1,C W Chang,So Wing Keung,61,82,War Front,Agreeable Miss,Speightstown
AUS ,4,Bay , Gelding,PPG,"$1,595,000 ","$1,865,760 ",2-2-1-15,2,T P Yung,Well Blessing Syndicate,59,45,Hinchinbrook,Willow,Woodman
GB ,5,Chestnut , Gelding,PP,"$570,000 ","$570,000 ",1-0-0-15,0,A S Cruz,"Helena Wai Suk Chong, Lisa Marie Djeng Kar Yee & Irene Wai Suk Yan",59,63,Sepoy,Mini Mosa,Indian Ridge
NZ ,3,Dark Bay , Gelding,PPG,"$605,000 ","$605,000 ",1-0-0-3,2,D A Hayes,Mr & Mrs Joseph Yip Tai Him,58,52,Showcasing,Pamina,Keeper
AUS ,3,Bay , Gelding,PPG,"$605,000 ","$605,000 ",1-0-0-2,1,D J Hall,Herman Woo Hon Man & Woo Shuet Ming,58,52,Zoustar,Saffie Darling,Catrail
NZ ,4,Bay , Gelding,PPG,"$1,770,000 ","$3,162,480 ",3-4-2-24,1,J Size,Go Global Syndicate,58,54,Zacinto,Footsie,Gallant Guru
AUS ,4,Bay , Gelding,PPG,"$52,500 ","$1,154,880 ",2-0-0-9,1,K L Man,Mr & Mrs Chan Hou Bo and Mr & Mrs Edward Chan Tsz Chun,58,65,Anacheeva,Silver Girl,Fastnet Rock
AUS ,5,Grey , Gelding,PPG,"$1,905,000 ","$2,723,240 ",2-5-3-22,1,W Y So,Yip Wing Kui,58,43,Starspangledbanner,Street Storm,Stormy Atlantic
AUS ,5,Bay , Gelding,PP,$0 ,$0 ,0-0-0-7,2,K H Ting,Mr & Mrs Simon Suen Siu Man,58,69,Fastnet Rock,Inglorious,Hennessy
GB ,7,Bay , Gelding,PP,"$550,000 ","$3,614,550 ",1-5-2-42,2,C Fownes,Edmond Siu Kim Ping,57,75,Frankel,Heaven Sent,Pivotal
NZ ,4,Bay , Gelding,PP,"$235,000 ","$235,000 ",0-0-1-9,2,P O'Sullivan,"Leung Moon Chuen, Edmond Leung Wai Choi & George Leung Wai Ki",57,68,Bullbars,Sister City,Elusive City
AUS ,5,Bay , Gelding,PPG,"$1,325,000 ","$2,894,730 ",2-6-2-29,2,D A Hayes,Charles Chan Cham Chuen & Simon Chan Cham Man,57,54,Lope de Vega,Macarthur Park,Rock Of Gibraltar
NZ ,7,Bay , Gelding,PPG,"$2,020,000 ","$3,941,920 ",4-5-6-37,2,K W Lui,Susie Wong Li Chia,56,40,O'Reilly,Savabeel Star,Savabeel
NZ ,6,Chestnut , Gelding,PPG,"$60,000 ","$2,095,250 ",3-2-1-25,1,T P Yung,Vanessa Lam Wai Shan,55,57,Super Easy,Charming Elle,Al Samer
NZ ,5,Bay , Gelding,PPG,"$895,000 ","$895,000 ",1-0-2-9,1,K W Lui,Tai Tak Fung,54,49,Tavistock,Times Remembered,Viking Ruler
AUS ,3,Bay , Gelding,PPG,"$115,000 ","$115,000 ",0-0-1-2,0,C S Shum,Ng Siu Luen,53,52,Whittington,Xaarhea,Xaar
AUS ,4,Bay , Gelding,PP,"$280,000 ","$918,190 ",1-1-0-20,2,D E Ferraris,Mr & Mrs Mak Yiu Hay,53,63,Tavistock,Mygoodgrace,Royal Academy
SAF ,4,Bay , Gelding,PP,"$115,000 ","$115,000 ",0-0-1-12,2,D E Ferraris,Sidney Leung Kwun Wa,53,74,Vercingetorix,War Path,Captain Al
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,J Size,The Executors of the Estate of the late Hui Sai Fun,52,52,Zoustar,It's One,O'Reilly
NZ ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,L Ho,Edwin Kwok & Dorothy Wu,52,52,Ocean Park,Insouciant,Keeper
NZ ,3,Bay , Gelding,PPG,"$35,000 ","$35,000 ",0-0-0-1,1,K H Ting,Paul Lo Chung Wai & Kathy Lo Ho Hsiu Lan,52,52,Charm Spirit,Enchanted Melody,Encosta de Lago
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,J Size,The Executors of the Estate of the late Samuel Wong Yin Shun,52,52,Sebring,Vaquera,High Chaparral
NZ ,3,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-1,1,D A Hayes,Kevin Hung Dingteng,52,52,Shocking,Mi Centie,Centaine
AUS ,3,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,C W Chang,Edward Ho Ka Yuen,52,52,Dissident,Demanding Queen,Commands
AUS ,3,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,Y S Tsui,Lai Ni Jan & Fernanda Lai Oon Kei,52,52,Dream Ahead,Kastenessen,Balestrini
AUS ,3,Black , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,P F Yiu,Hui Sze Man,52,52,Zoustar,Gilded Grace,Gilded Time
AUS ,3,Bay , Gelding,PPG,"$60,000 ","$60,000 ",0-0-0-1,1,C Fownes,"Carter Richard Ting, Mr & Mrs Luk Sai Hong and Thomas Yip Chung Lik",52,52,Deep Field,Jive Talk,Commands
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,F C Lor,"Amy Li Chi Lin, April Tsui Siu Yee & Ben Tsui Siu Lun",52,52,Smart Missile,Lisboa,Van Nistelrooy
